Parameter Name, Parameter Level, Is Mandatory Parameter, Allow Empty Value, Parameter Value Type, Minimum Length, Maximum Length, Mask Value in Logs, Check characters on this parameter value, Check attack signatures and threat campaigns on this parameter, Allow Repeated Occurrences, Base64 Decoding, Allowed Meta Characters, Disabled Attack Signatures
A,Global,false,false,user input,Any,100,false,true,true,true,false,%halo&,
ACCOUNTDEBETNAME,Global,false,false,user input,Any,100,false,true,true,true,false,"halo%,
ADD,Global,false,true,user input,Any,Any,false,true,true,false,false,LFhalo"halo%halo;,
AddF0_2.disp2_1,Global,false,true,user input,Any,Any,false,true,true,false,false,",
AddF0_2.disp2_2,Global,false,true,user input,Any,Any,false,true,true,false,false,",
AddF0_2.disp2_3,Global,false,true,user input,Any,Any,false,true,true,false,false,",
AddF5,Global,false,true,user input,Any,Any,false,true,true,false,false,;,
B,Global,false,true,user input,Any,1000,false,true,true,false,false,;,
BROWSERVER,Global,false,false,user input,Any,500,false,true,true,false,false,;,
BankBIC,Global,false,true,user input,Any,Any,false,true,true,false,false,TAB,
BeforeRequest,Global,false,true,user input,Any,Any,false,true,true,false,false,",
CARDTYPE,Global,false,true,user input,Any,Any,false,true,true,false,false,[halo],
CBCCode,Global,false,true,ignore,Any,Any,false,true,true,false,false,TAB,
CBCComment,Global,false,true,ignore,Any,Any,false,true,true,false,false,TAB,
CNP,Global,false,true,user input,Any,Any,false,true,true,false,false,;,
CUSTOMER,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo'halo\,
CUSTOMERADDRESS,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo'halo\,
CommunityDeFacto,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo',
ConIdQues,Global,false,true,user input,Any,Any,false,true,true,false,false,',
DOCNAME,Global,false,true,user input,Any,Any,false,true,true,false,false,LFhalo"halo%halo&halo;,
DOCTEXT,Global,false,true,user input,Any,Any,false,true,true,false,false,TABhaloLFhaloCRhalo"halo$halo%halo&halo'halo;halo<halo>halo[halo\halo]halo},200022016
Email,Global,false,true,user input,Any,Any,false,true,true,false,false,;halo<halo>,
EmployerHouse,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo\,
EmployerName,Global,false,true,user input,Any,500,false,true,true,false,false,TABhaloLFhalo"halo&halo'halo<halo>halo\halo`,
EmployerStreet,Global,false,true,user input,Any,Any,false,true,true,false,false,",
FAVNAME,Global,false,true,user input,Any,500,false,true,true,false,false,TABhalo"halo$halo%halo&halo'halo;halo<halo>halo\halo`halo{halo|,
FILE_NAME,Global,false,true,user input,Any,Any,false,true,false,false,false,,200000095halo200000107halo200001142halo200001148halo200001174halo200001480halo200001579halo200003026halo200003031halo200003034halo200003040halo200003041halo200003083halo200003086halo200003087halo200003091halo200003098halo200003105halo200003124halo200004025halo200004048halo200100310
FILE_PATH,Global,false,false,auto detect,Any,Any,false,true,true,false,false,$halo&halo;halo[halo],200001174
FORMACTION,Global,false,true,user input,Any,Any,false,true,true,false,false,,200001579
FavName,Global,false,true,user input,Any,200,false,true,true,false,false,TABhaloLFhalo"halo$halo%halo&halo'halo;halo<halo>halo\halo`halo{halo|,
GROUND,Global,false,true,user input,Any,500,false,true,true,false,false,LFhalo"halo$halo%halo&halo'halo;halo<halo>halo[halo\halo{halo|halo},
HouseDeFacto,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo\,
IDR,Global,false,true,user input,Any,Any,false,true,true,false,false,|,
IDRT,Global,false,true,user input,Any,Any,false,true,true,false,false,|,
INT_REF,Global,false,true,user input,Any,Any,false,true,true,false,false,,200018026
IdCaptcha,Global,false,true,user input,Any,Any,false,true,true,false,false,{halo},
MBP_RESULT,Global,false,true,user input,Any,Any,false,true,true,false,false,,
MapID,Global,false,true,user input,Any,Any,false,true,true,false,false,{halo},
MapID_confirmnewpass,Global,false,true,user input,Any,Any,false,true,true,false,false,{halo},
MapID_confirmnewpin,Global,false,true,user input,Any,Any,false,true,true,false,false,{halo},
MapID_currentpass,Global,false,true,user input,Any,Any,false,true,true,false,false,{halo},
MapID_currentpin,Global,false,true,user input,Any,Any,false,true,true,false,false,{halo},
MapID_newpass,Global,false,true,user input,Any,Any,false,true,true,false,false,{halo},
MapID_newpin,Global,false,true,user input,Any,Any,false,true,true,false,false,{halo},
MobModel,Global,false,false,user input,Any,100,false,true,true,false,false,&halo|,
NICKNAME,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo$halo%halo[halo\halo],
NP,Global,false,true,user input,Any,Any,false,true,true,false,false,;,
OLDP,Global,false,true,user input,Any,Any,false,true,true,false,false,;,
PAYERNAME,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo&halo'halo\,
PDC_IMEDIABANKNAME,Global,false,true,user input,Any,Any,false,true,true,false,false,',
PDC_PAYMENTSDETAILS,Global,false,true,user input,Any,Any,false,true,true,false,false,LFhaloCRhalo"halo$halo%halo&halo'halo;,
PDC_RECEIVER,Global,false,true,user input,Any,Any,false,true,true,false,false,LFhaloCRhalo',
PDC_RECEIVERADDRESS,Global,false,true,user input,Any,Any,false,true,true,false,false,LFhaloCRhalo',
PDC_RECEIVERBANKADDRESS,Global,false,true,user input,Any,Any,false,true,true,false,false,',
PDC_RECEIVERBANKNAME,Global,false,true,user input,Any,Any,false,true,true,false,false,',
PDC_RECEIVERBANKPLACE,Global,false,true,user input,Any,Any,false,true,true,false,false,',
PDC_RECEIVERPLACE,Global,false,true,user input,Any,Any,false,true,true,false,false,',
PDR_GROUND,Global,false,true,user input,Any,500,false,false,true,false,false,TABhaloLFhalo"halo$halo%halo&halo;halo<halo>halo\halo{halo},
PDR_RECEIVER,Global,false,true,user input,Any,Any,false,false,true,false,false,TABhaloLFhaloCRhalo"halo%halo'halo;halo<halo>halo\halo`,
PDR_RECEIVERBANKFULLINFO,Global,false,true,user input,Any,200,false,true,true,false,false,",
PDR_RECEIVERBANKFULLINFOREK,Global,false,true,user input,Any,200,false,true,true,false,false,",
PDR_RECEIVERBANKNAME,Global,false,true,user input,Any,Any,false,true,true,false,false,TABhalo",
PSW,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo$halo&halo'halo\,
PayerAccountName,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo%halo[halo\halo]halo|,
QRCODE,Global,false,false,user input,Any,Any,false,false,true,false,false,LFhaloCRhalo"halo%halo&halo'halo;halo<halo>halo\halo`halo|,
RECEIVER,Global,false,true,user input,Any,Any,false,false,true,false,false,SOHhaloLFhalo"halo'halo<halo>halo[halo\halo],
RECEIVERBANKNAME,Global,false,true,user input,Any,Any,false,true,true,false,false,",
RECEIVERINN,Global,false,true,ignore,Any,Any,false,true,true,false,false,TAB,
REQUESTREASON2,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo',
StreetDeFacto,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo'halo\,
T,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo<halo>,
TAXNUMBER,Global,false,true,user input,Any,50,false,true,true,false,false,;,
TEXT_AddF375,Global,false,true,user input,Any,Any,false,true,true,false,false,",
TEXT_AddF54,Global,false,true,user input,Any,Any,false,true,true,false,false,",
TIDR,Global,false,true,user input,Any,Any,false,true,true,false,false,|,
TPL_FORM_XSL_FILE,Global,false,true,user input,Any,Any,false,true,true,false,false,\,
TPL_IDR,Global,false,true,user input,Any,Any,false,true,true,false,false,|,
UserIdea,Global,false,true,user input,Any,Any,false,true,true,false,false,LFhalo"halo%halo\,
UserPassport,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo\,
WORD_RESULT,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo&halo'halo>halo[,
YourBid,Global,false,true,user input,Any,Any,false,true,true,false,false,%,
conf_pass,Global,false,true,user input,Any,Any,false,true,true,false,false,;,
confirmnewpin,Global,false,true,user input,Any,Any,false,true,true,false,false,;,
currentpin,Global,false,true,user input,Any,Any,false,true,true,false,false,;,
filename,Global,false,false,user input,Any,200,false,true,true,false,false,$halo&halo'halo;halo[halo\halo],
findValue,Global,false,true,user input,Any,Any,false,true,true,false,false,"halo&,
new_pass,Global,false,true,user input,Any,Any,false,true,true,false,false,;,
newpin,Global,false,true,user input,Any,Any,false,true,true,false,false,;,
utm_referrer,Global,false,true,user input,Any,Any,false,true,true,false,false,%halo&halo;,
*,Global,false,true,auto detect,Any,Any,false,true,true,false,false,,
